employee_id,absence_start,absence_end,absence_reason,absence_type
E035,2023-07-25,2023-07-29,Krankheit,unerwartete Abwesenheit
E016,2023-04-02,2023-04-08,Urlaub,geplante Abwesenheit
E020,2023-05-08,2023-05-17,Urlaub,geplante Abwesenheit
E015,2023-04-13,2023-04-18,Urlaub,geplante Abwesenheit
E004,2023-03-13,2023-03-17,Krankheit,unerwartete Abwesenheit
E018,2023-03-26,2023-04-08,Urlaub,geplante Abwesenheit
E013,2023-05-09,2023-05-18,Urlaub,geplante Abwesenheit
E012,2023-01-20,2023-01-27,Urlaub,geplante Abwesenheit
E018,2023-09-15,2023-09-23,unentschuldigtes Fehlen,unerwartete Abwesenheit
E024,2023-09-10,2023-09-15,Urlaub,geplante Abwesenheit
E016,2023-09-27,2023-10-03,Urlaub,geplante Abwesenheit
E006,2023-12-04,2023-12-13,Urlaub,geplante Abwesenheit
E045,2023-09-04,2023-09-12,Urlaub,geplante Abwesenheit
E042,2023-02-10,2023-02-11,unentschuldigtes Fehlen,unerwartete Abwesenheit
E010,2023-12-13,2023-12-22,Urlaub,geplante Abwesenheit
E037,2023-07-22,2023-07-27,unentschuldigtes Fehlen,unerwartete Abwesenheit
E021,2023-05-30,2023-06-05,unentschuldigtes Fehlen,unerwartete Abwesenheit
E031,2023-12-06,2023-12-11,Urlaub,geplante Abwesenheit
E044,2023-03-09,2023-03-16,Urlaub,geplante Abwesenheit
E003,2023-04-16,2023-04-17,unentschuldigtes Fehlen,unerwartete Abwesenheit
E013,2023-04-28,2023-05-07,Urlaub,geplante Abwesenheit
E039,2023-10-14,2023-10-30,Urlaub,geplante Abwesenheit
E031,2023-06-15,2023-06-21,Urlaub,geplante Abwesenheit
E028,2023-03-04,2023-03-08,unentschuldigtes Fehlen,unerwartete Abwesenheit
E010,2023-12-06,2023-12-10,Krankheit,unerwartete Abwesenheit
E036,2023-03-07,2023-03-12,Urlaub,geplante Abwesenheit
E030,2023-03-16,2023-03-21,Urlaub,geplante Abwesenheit
E048,2023-05-19,2023-05-21,Krankheit,unerwartete Abwesenheit
E036,2023-03-06,2023-03-11,Urlaub,geplante Abwesenheit
E047,2023-03-10,2023-03-14,Krankheit,unerwartete Abwesenheit
E005,2023-01-06,2023-01-12,Krankheit,unerwartete Abwesenheit
E025,2023-02-12,2023-02-17,Urlaub,geplante Abwesenheit
E029,2023-04-15,2023-04-20,Krankheit,unerwartete Abwesenheit
E042,2023-04-01,2023-04-07,Urlaub,geplante Abwesenheit
E008,2023-08-22,2023-08-28,Urlaub,geplante Abwesenheit
E033,2023-12-20,2023-12-24,Krankheit,unerwartete Abwesenheit
E033,2023-01-28,2023-02-11,Urlaub,geplante Abwesenheit
E036,2023-11-04,2023-11-10,unentschuldigtes Fehlen,unerwartete Abwesenheit
E025,2023-09-28,2023-10-03,Urlaub,geplante Abwesenheit
E019,2023-03-30,2023-04-05,unentschuldigtes Fehlen,unerwartete Abwesenheit
E011,2023-01-09,2023-01-16,Urlaub,geplante Abwesenheit
E030,2023-07-06,2023-07-11,Urlaub,geplante Abwesenheit
E012,2023-07-21,2023-07-25,unentschuldigtes Fehlen,unerwartete Abwesenheit
E029,2023-04-12,2023-04-17,Urlaub,geplante Abwesenheit
E041,2023-05-12,2023-05-18,Urlaub,geplante Abwesenheit
E042,2023-04-10,2023-04-16,Urlaub,geplante Abwesenheit
E009,2023-05-04,2023-05-10,Urlaub,geplante Abwesenheit
E002,2023-01-15,2023-01-20,Urlaub,geplante Abwesenheit
E037,2023-06-02,2023-06-09,Urlaub,geplante Abwesenheit
E011,2023-06-09,2023-06-12,unentschuldigtes Fehlen,unerwartete Abwesenheit
E014,2023-10-28,2023-11-01,Urlaub,geplante Abwesenheit
E024,2023-11-20,2023-11-26,Urlaub,geplante Abwesenheit
E001,2023-05-04,2023-05-09,Krankheit,unerwartete Abwesenheit
E036,2023-09-23,2023-09-30,unentschuldigtes Fehlen,unerwartete Abwesenheit
E008,2023-12-05,2023-12-12,Urlaub,geplante Abwesenheit
E030,2023-06-05,2023-06-10,Urlaub,geplante Abwesenheit
E026,2023-12-09,2023-12-16,Urlaub,geplante Abwesenheit
E020,2023-08-26,2023-09-04,Urlaub,geplante Abwesenheit
E007,2023-04-01,2023-04-03,Krankheit,unerwartete Abwesenheit
E050,2023-03-06,2023-03-16,Urlaub,geplante Abwesenheit
E004,2023-08-26,2023-08-31,Urlaub,geplante Abwesenheit
E027,2023-03-14,2023-03-24,Urlaub,geplante Abwesenheit
E001,2023-08-20,2023-08-22,unentschuldigtes Fehlen,unerwartete Abwesenheit
E021,2023-04-25,2023-05-09,Urlaub,geplante Abwesenheit
E031,2023-07-10,2023-07-16,Urlaub,geplante Abwesenheit
E010,2023-02-27,2023-03-09,Urlaub,geplante Abwesenheit
E043,2023-04-22,2023-05-06,Urlaub,geplante Abwesenheit
E006,2023-10-30,2023-11-05,unentschuldigtes Fehlen,unerwartete Abwesenheit
E027,2023-10-30,2023-11-04,unentschuldigtes Fehlen,unerwartete Abwesenheit
E011,2023-04-24,2023-04-28,unentschuldigtes Fehlen,unerwartete Abwesenheit
E017,2023-10-14,2023-10-18,Krankheit,unerwartete Abwesenheit
E006,2023-02-09,2023-02-13,Krankheit,unerwartete Abwesenheit
E021,2023-12-11,2023-12-26,Urlaub,geplante Abwesenheit
E049,2023-03-14,2023-03-21,Urlaub,geplante Abwesenheit
E015,2023-12-17,2023-12-20,unentschuldigtes Fehlen,unerwartete Abwesenheit
E003,2023-06-11,2023-06-17,Urlaub,geplante Abwesenheit
E029,2023-03-08,2023-03-12,unentschuldigtes Fehlen,unerwartete Abwesenheit
E024,2023-07-07,2023-07-13,Urlaub,geplante Abwesenheit
E025,2023-11-24,2023-11-25,unentschuldigtes Fehlen,unerwartete Abwesenheit
E042,2023-02-26,2023-03-05,unentschuldigtes Fehlen,unerwartete Abwesenheit
E023,2023-06-26,2023-06-29,Krankheit,unerwartete Abwesenheit
E019,2023-05-10,2023-05-18,Urlaub,geplante Abwesenheit
E034,2023-03-16,2023-03-18,unentschuldigtes Fehlen,unerwartete Abwesenheit
E030,2023-01-22,2023-01-26,Krankheit,unerwartete Abwesenheit
E018,2023-02-09,2023-02-15,unentschuldigtes Fehlen,unerwartete Abwesenheit
E040,2023-06-19,2023-06-29,Urlaub,geplante Abwesenheit
E008,2023-03-08,2023-03-13,Krankheit,unerwartete Abwesenheit
E026,2023-05-06,2023-05-13,Urlaub,geplante Abwesenheit
E001,2023-05-01,2023-05-05,unentschuldigtes Fehlen,unerwartete Abwesenheit
E015,2023-07-31,2023-08-05,Urlaub,geplante Abwesenheit
E012,2023-10-27,2023-10-30,Krankheit,unerwartete Abwesenheit
E043,2023-03-04,2023-03-19,Urlaub,geplante Abwesenheit
E038,2023-02-10,2023-02-16,unentschuldigtes Fehlen,unerwartete Abwesenheit
E017,2023-12-18,2023-12-22,Urlaub,geplante Abwesenheit
E034,2023-06-15,2023-06-28,Urlaub,geplante Abwesenheit
E025,2023-07-27,2023-08-02,unentschuldigtes Fehlen,unerwartete Abwesenheit
E014,2023-12-18,2023-12-22,Urlaub,geplante Abwesenheit
E023,2023-08-19,2023-09-02,Urlaub,geplante Abwesenheit
E013,2023-11-08,2023-11-17,Urlaub,geplante Abwesenheit
E004,2023-11-16,2023-11-21,Urlaub,geplante Abwesenheit
E040,2023-12-25,2023-12-31,unentschuldigtes Fehlen,unerwartete Abwesenheit
E038,2023-05-10,2023-05-15,Urlaub,geplante Abwesenheit
E041,2023-03-29,2023-04-04,Urlaub,geplante Abwesenheit
E007,2023-08-24,2023-08-25,Krankheit,unerwartete Abwesenheit
E049,2023-07-30,2023-08-06,Urlaub,geplante Abwesenheit
E019,2023-06-21,2023-06-24,Krankheit,unerwartete Abwesenheit
E030,2023-02-04,2023-02-10,Urlaub,geplante Abwesenheit
E030,2023-11-05,2023-11-10,Urlaub,geplante Abwesenheit
E013,2023-04-07,2023-04-11,unentschuldigtes Fehlen,unerwartete Abwesenheit
E044,2023-05-20,2023-05-27,Urlaub,geplante Abwesenheit
E016,2023-03-26,2023-03-28,Krankheit,unerwartete Abwesenheit
E011,2023-06-01,2023-06-07,Urlaub,geplante Abwesenheit
E038,2023-07-10,2023-07-15,Urlaub,geplante Abwesenheit
E015,2023-08-04,2023-08-10,Krankheit,unerwartete Abwesenheit
E025,2023-06-14,2023-06-17,Krankheit,unerwartete Abwesenheit
E047,2023-04-11,2023-04-26,Urlaub,geplante Abwesenheit
E022,2023-02-02,2023-02-08,Urlaub,geplante Abwesenheit
E012,2023-04-07,2023-04-14,Urlaub,geplante Abwesenheit
E022,2023-11-09,2023-11-16,Urlaub,geplante Abwesenheit
E003,2023-09-16,2023-09-20,unentschuldigtes Fehlen,unerwartete Abwesenheit
E014,2023-06-23,2023-06-28,Urlaub,geplante Abwesenheit
E014,2023-03-14,2023-03-16,unentschuldigtes Fehlen,unerwartete Abwesenheit
E009,2023-02-10,2023-02-15,Urlaub,geplante Abwesenheit
E049,2023-08-04,2023-08-12,Urlaub,geplante Abwesenheit
E005,2023-02-02,2023-02-07,Krankheit,unerwartete Abwesenheit
E033,2023-09-01,2023-09-14,Urlaub,geplante Abwesenheit
E042,2023-01-26,2023-01-31,Urlaub,geplante Abwesenheit
E036,2023-05-20,2023-05-25,Urlaub,geplante Abwesenheit
E031,2023-11-11,2023-11-15,unentschuldigtes Fehlen,unerwartete Abwesenheit
E014,2023-02-18,2023-02-23,unentschuldigtes Fehlen,unerwartete Abwesenheit
E020,2023-12-20,2023-12-25,unentschuldigtes Fehlen,unerwartete Abwesenheit
E029,2023-06-20,2023-06-25,Urlaub,geplante Abwesenheit
E003,2023-05-20,2023-05-25,Urlaub,geplante Abwesenheit
E047,2023-04-02,2023-04-05,unentschuldigtes Fehlen,unerwartete Abwesenheit
E015,2023-08-11,2023-08-17,Urlaub,geplante Abwesenheit
E019,2023-01-02,2023-01-05,Krankheit,unerwartete Abwesenheit
E035,2023-02-23,2023-02-25,Krankheit,unerwartete Abwesenheit
E012,2023-01-05,2023-01-09,unentschuldigtes Fehlen,unerwartete Abwesenheit
E029,2023-07-05,2023-07-11,Urlaub,geplante Abwesenheit
E050,2023-08-22,2023-08-26,Krankheit,unerwartete Abwesenheit
E022,2023-12-14,2023-12-19,Krankheit,unerwartete Abwesenheit
E003,2023-07-16,2023-07-22,unentschuldigtes Fehlen,unerwartete Abwesenheit
E038,2023-04-25,2023-04-30,Urlaub,geplante Abwesenheit
E049,2023-06-25,2023-07-01,unentschuldigtes Fehlen,unerwartete Abwesenheit
E044,2023-04-05,2023-04-13,Urlaub,geplante Abwesenheit
E022,2023-02-10,2023-02-16,Urlaub,geplante Abwesenheit
E034,2023-10-25,2023-11-07,Urlaub,geplante Abwesenheit
E001,2023-02-23,2023-03-04,unentschuldigtes Fehlen,unerwartete Abwesenheit
E014,2023-08-13,2023-08-14,unentschuldigtes Fehlen,unerwartete Abwesenheit
E014,2023-11-30,2023-12-05,Urlaub,geplante Abwesenheit
E049,2023-09-27,2023-10-04,Urlaub,geplante Abwesenheit
E017,2023-03-19,2023-03-24,unentschuldigtes Fehlen,unerwartete Abwesenheit
E031,2023-12-23,2023-12-29,Urlaub,geplante Abwesenheit
E019,2023-02-28,2023-03-09,Urlaub,geplante Abwesenheit
E042,2023-05-08,2023-05-14,Urlaub,geplante Abwesenheit
E009,2023-05-14,2023-05-19,Urlaub,geplante Abwesenheit
E002,2023-06-06,2023-06-11,Urlaub,geplante Abwesenheit
E036,2023-09-25,2023-09-28,Krankheit,unerwartete Abwesenheit
E032,2023-11-05,2023-11-10,unentschuldigtes Fehlen,unerwartete Abwesenheit
E011,2023-07-18,2023-07-24,Urlaub,geplante Abwesenheit
E031,2023-02-10,2023-02-15,Urlaub,geplante Abwesenheit
E026,2023-01-21,2023-01-27,unentschuldigtes Fehlen,unerwartete Abwesenheit
E050,2023-08-02,2023-08-12,Urlaub,geplante Abwesenheit
E046,2023-06-28,2023-07-11,Urlaub,geplante Abwesenheit
E009,2023-02-02,2023-02-03,Krankheit,unerwartete Abwesenheit
E022,2023-07-02,2023-07-09,Urlaub,geplante Abwesenheit
E028,2023-05-22,2023-06-04,Urlaub,geplante Abwesenheit
E041,2023-07-02,2023-07-08,Urlaub,geplante Abwesenheit
E006,2023-08-08,2023-08-11,Krankheit,unerwartete Abwesenheit
E017,2023-02-17,2023-02-21,Urlaub,geplante Abwesenheit
E017,2023-09-16,2023-09-21,Urlaub,geplante Abwesenheit
E009,2023-01-21,2023-01-26,Urlaub,geplante Abwesenheit
E011,2023-02-11,2023-02-16,Krankheit,unerwartete Abwesenheit
E020,2023-07-16,2023-07-20,Krankheit,unerwartete Abwesenheit
E012,2023-07-06,2023-07-08,Krankheit,unerwartete Abwesenheit
E037,2023-11-16,2023-11-23,Urlaub,geplante Abwesenheit
E045,2023-04-13,2023-04-17,Krankheit,unerwartete Abwesenheit
E016,2023-04-04,2023-04-10,Urlaub,geplante Abwesenheit
E003,2023-03-19,2023-03-25,Urlaub,geplante Abwesenheit
E029,2023-07-15,2023-07-22,unentschuldigtes Fehlen,unerwartete Abwesenheit
E002,2023-10-10,2023-10-15,Urlaub,geplante Abwesenheit
E002,2023-08-15,2023-08-20,Urlaub,geplante Abwesenheit
E002,2023-08-02,2023-08-06,Urlaub,geplante Abwesenheit
E010,2023-03-24,2023-03-30,unentschuldigtes Fehlen,unerwartete Abwesenheit
E007,2023-03-22,2023-04-07,Urlaub,geplante Abwesenheit
E037,2023-05-18,2023-05-20,unentschuldigtes Fehlen,unerwartete Abwesenheit
E048,2023-04-14,2023-04-18,unentschuldigtes Fehlen,unerwartete Abwesenheit
E036,2023-04-06,2023-04-08,Krankheit,unerwartete Abwesenheit
E006,2023-08-28,2023-09-04,Krankheit,unerwartete Abwesenheit
E014,2023-01-06,2023-01-09,Krankheit,unerwartete Abwesenheit
E025,2023-06-18,2023-06-23,Urlaub,geplante Abwesenheit
E050,2023-03-08,2023-03-12,unentschuldigtes Fehlen,unerwartete Abwesenheit
E032,2023-01-04,2023-01-18,Urlaub,geplante Abwesenheit
E031,2023-10-18,2023-10-19,Krankheit,unerwartete Abwesenheit
E006,2023-05-12,2023-05-21,Urlaub,geplante Abwesenheit
E017,2023-12-17,2023-12-22,Urlaub,geplante Abwesenheit
E010,2023-07-30,2023-08-02,unentschuldigtes Fehlen,unerwartete Abwesenheit
E001,2023-02-09,2023-02-25,Urlaub,geplante Abwesenheit
E002,2023-05-02,2023-05-06,unentschuldigtes Fehlen,unerwartete Abwesenheit
E008,2023-02-14,2023-02-20,Krankheit,unerwartete Abwesenheit
E048,2023-10-16,2023-10-23,Urlaub,geplante Abwesenheit
E009,2023-07-28,2023-08-02,Urlaub,geplante Abwesenheit
E007,2023-06-07,2023-06-22,Urlaub,geplante Abwesenheit
E022,2023-08-04,2023-08-09,unentschuldigtes Fehlen,unerwartete Abwesenheit
E005,2023-06-23,2023-07-03,Urlaub,geplante Abwesenheit
E048,2023-03-05,2023-03-12,Urlaub,geplante Abwesenheit
E035,2023-09-23,2023-10-08,Urlaub,geplante Abwesenheit
E027,2023-10-18,2023-10-28,Urlaub,geplante Abwesenheit
E037,2023-12-04,2023-12-10,Urlaub,geplante Abwesenheit
E001,2023-08-03,2023-08-18,Urlaub,geplante Abwesenheit
E026,2023-11-15,2023-11-21,Krankheit,unerwartete Abwesenheit
E008,2023-12-05,2023-12-12,Urlaub,geplante Abwesenheit
E026,2023-12-23,2023-12-29,Urlaub,geplante Abwesenheit
E024,2023-08-24,2023-08-28,unentschuldigtes Fehlen,unerwartete Abwesenheit
E048,2023-01-01,2023-01-06,unentschuldigtes Fehlen,unerwartete Abwesenheit
E008,2023-09-05,2023-09-12,Urlaub,geplante Abwesenheit
E011,2023-01-24,2023-01-30,Urlaub,geplante Abwesenheit
E035,2023-03-18,2023-03-23,Krankheit,unerwartete Abwesenheit
E042,2023-05-12,2023-05-17,Urlaub,geplante Abwesenheit
E045,2023-06-26,2023-07-04,Urlaub,geplante Abwesenheit
E045,2023-08-23,2023-08-28,Krankheit,unerwartete Abwesenheit
E041,2023-03-20,2023-03-27,Urlaub,geplante Abwesenheit
E041,2023-12-24,2023-12-30,Krankheit,unerwartete Abwesenheit
E048,2023-04-07,2023-04-14,Urlaub,geplante Abwesenheit
E023,2023-09-17,2023-09-19,Krankheit,unerwartete Abwesenheit
E034,2023-04-04,2023-04-08,Krankheit,unerwartete Abwesenheit
E024,2023-07-18,2023-07-23,Urlaub,geplante Abwesenheit
E020,2023-03-17,2023-03-26,Urlaub,geplante Abwesenheit
E004,2023-03-24,2023-03-28,Urlaub,geplante Abwesenheit
E040,2023-05-14,2023-05-16,unentschuldigtes Fehlen,unerwartete Abwesenheit
E027,2023-01-26,2023-01-30,unentschuldigtes Fehlen,unerwartete Abwesenheit
E015,2023-12-01,2023-12-06,Urlaub,geplante Abwesenheit
E044,2023-08-04,2023-08-11,Urlaub,geplante Abwesenheit
E032,2023-08-30,2023-09-14,Urlaub,geplante Abwesenheit
E017,2023-01-28,2023-02-02,Urlaub,geplante Abwesenheit
E003,2023-08-13,2023-08-18,Urlaub,geplante Abwesenheit
E003,2023-01-10,2023-01-16,Urlaub,geplante Abwesenheit
E047,2023-06-13,2023-06-29,Urlaub,geplante Abwesenheit
E016,2023-05-24,2023-05-30,Urlaub,geplante Abwesenheit
E028,2023-07-21,2023-07-26,unentschuldigtes Fehlen,unerwartete Abwesenheit
E019,2023-04-16,2023-04-24,Urlaub,geplante Abwesenheit
E037,2023-09-06,2023-09-10,Krankheit,unerwartete Abwesenheit
E027,2023-05-24,2023-05-28,Krankheit,unerwartete Abwesenheit
E016,2023-07-30,2023-08-03,unentschuldigtes Fehlen,unerwartete Abwesenheit
E014,2023-02-14,2023-02-19,Urlaub,geplante Abwesenheit
E025,2023-02-01,2023-02-04,unentschuldigtes Fehlen,unerwartete Abwesenheit
E012,2023-11-10,2023-11-16,Urlaub,geplante Abwesenheit
E015,2023-05-28,2023-06-02,Urlaub,geplante Abwesenheit
E012,2023-05-14,2023-05-18,unentschuldigtes Fehlen,unerwartete Abwesenheit
E025,2023-03-06,2023-03-11,Urlaub,geplante Abwesenheit
E027,2023-01-16,2023-01-24,unentschuldigtes Fehlen,unerwartete Abwesenheit
E035,2023-02-08,2023-02-24,Urlaub,geplante Abwesenheit
E039,2023-11-25,2023-12-10,Urlaub,geplante Abwesenheit
E037,2023-09-20,2023-09-26,Urlaub,geplante Abwesenheit
E029,2023-08-07,2023-08-14,unentschuldigtes Fehlen,unerwartete Abwesenheit
E024,2023-11-28,2023-11-29,Krankheit,unerwartete Abwesenheit
E023,2023-03-25,2023-03-31,Krankheit,unerwartete Abwesenheit
